"","Treatment","choosecandy"
"1","candy",1
"2","candy",1
"3","candy",1
"4","candy",1
"5","candy",1
"6","candy",1
"7","candy",1
"8","candy",1
"9","candy",1
"10","candy",1
"11","candy",1
"12","candy",1
"13","candy",1
"14","candy",1
"15","both",1
"16","both",1
"17","both",1
"18","both",1
"19","both",1
"20","both",1
"21","both",1
"22","both",1
"23","both",1
"24","both",1
"25","both",1
"26","both",1
"27","both",1
"28","both",1
"29","neither",1
"30","neither",1
"31","neither",1
"32","neither",1
"33","neither",1
"34","neither",1
"35","neither",1
"36","neither",1
"37","neither",1
"38","neither",1
"39","neither",1
"40","neither",1
"41","neither",1
"42","neither",1
"43","neither",1
"44","neither",1
"45","neither",1
"46","neither",1
"47","mug",1
"48","mug",1
"49","mug",1
"50","mug",1
"51","mug",1
"52","mug",1
"53","mug",1
"54","mug",1
"55","mug",1
"56","mug",1
"57","mug",1
"58","mug",1
"59","mug",1
"60","mug",1
"61","candy",0
"62","candy",0
"63","candy",0
"64","candy",0
"65","candy",0
"66","candy",0
"67","candy",0
"68","candy",0
"69","candy",0
"70","candy",0
"71","candy",0
"72","candy",0
"73","candy",0
"74","candy",0
"75","candy",0
"76","candy",0
"77","both",0
"78","both",0
"79","both",0
"80","both",0
"81","both",0
"82","both",0
"83","both",0
"84","both",0
"85","both",0
"86","both",0
"87","both",0
"88","both",0
"89","both",0
"90","both",0
"91","both",0
"92","both",0
"93","both",0
"94","both",0
"95","neither",0
"96","neither",0
"97","neither",0
"98","neither",0
"99","neither",0
"100","neither",0
"101","neither",0
"102","neither",0
"103","neither",0
"104","neither",0
"105","neither",0
"106","neither",0
"107","neither",0
"108","neither",0
"109","neither",0
"110","neither",0
"111","neither",0
"112","mug",0
"113","mug",0
"114","mug",0
"115","mug",0
"116","mug",0
"117","mug",0
"118","mug",0
"119","mug",0
"120","mug",0
"121","mug",0
"122","mug",0
"123","mug",0
"124","mug",0
"125","mug",0
"126","mug",0
"127","mug",0
"128","mug",0
"129","mug",0
